cfg_id,SCORE,CAND,MOVE,HMARGIN,score_sgm,proved,runs,mean_gap
68,sum,8,0.5,8,103.19491687555072,5,10,40.819280000000006
71,sum,8,0.8,8,103.22316991138062,5,10,40.85731
65,sum,8,0.3,8,103.24285478428938,5,10,40.845150000000004
23,spread,16,0.5,8,103.43136717747528,5,10,40.4491
26,spread,16,0.8,8,103.44612364650702,5,10,40.4491
20,spread,16,0.3,8,103.46216397577581,5,10,40.4491
3,spread,4,0.5,2,103.62279059077518,5,10,40.951139999999995
11,spread,8,0.3,8,103.6332438993708,5,10,40.9477
63,sum,8,0.3,2,103.66261199257326,5,10,40.845150000000004
66,sum,8,0.5,2,103.67019041857876,5,10,40.819280000000006
17,spread,8,0.8,8,103.67120939777045,5,10,41.006009999999996
0,spread,4,0.3,2,103.68325035719587,5,10,40.83316
69,sum,8,0.8,2,103.69735877210474,5,10,40.85731
64,sum,8,0.3,4,103.71565755203356,5,10,40.845150000000004
14,spread,8,0.5,8,103.71986010716641,5,10,40.98732
67,sum,8,0.5,4,103.73618097883576,5,10,40.819280000000006
70,sum,8,0.8,4,103.84405480007248,5,10,40.85731
24,spread,16,0.8,2,103.86289348343976,5,10,40.4491
21,spread,16,0.5,2,103.89842830143927,5,10,40.4491
50,min,16,0.5,8,103.93499330324977,5,10,40.28754
18,spread,16,0.3,2,103.95272080719438,5,10,40.4491
19,spread,16,0.3,4,103.96659023266125,5,10,40.4491
25,spread,16,0.8,4,103.98047457365972,5,10,40.4491
47,min,16,0.3,8,103.9877106211107,5,10,40.28754
53,min,16,0.8,8,104.03618641406058,5,10,40.28754
15,spread,8,0.8,2,104.0505002786713,5,10,41.006009999999996
22,spread,16,0.5,4,104.05537528730366,5,10,40.4491
12,spread,8,0.5,2,104.0591890779488,5,10,40.98732
10,spread,8,0.3,4,104.09132418408191,5,10,40.9477
78,sum,16,0.8,2,104.1075527798107,5,10,40.30723
72,sum,16,0.3,2,104.10802569305531,5,10,40.306329999999996
75,sum,16,0.5,2,104.1417399905128,5,10,40.30723
16,spread,8,0.8,4,104.1962382421876,5,10,41.006009999999996
13,spread,8,0.5,4,104.20139621612495,5,10,40.98732
9,spread,8,0.3,2,104.25383960062257,5,10,40.9477
51,min,16,0.8,2,104.43647306929827,5,10,40.28754
48,min,16,0.5,2,104.46142656627133,5,10,40.28754
45,min,16,0.3,2,104.47514313990183,5,10,40.28754
42,min,8,0.8,2,105.04810709429287,5,10,41.062580000000004
36,min,8,0.3,2,105.06280552020975,5,10,41.01435
39,min,8,0.5,2,105.19661745807676,5,10,41.016679999999994
80,sum,16,0.8,8,105.25522853741327,5,10,40.07181
77,sum,16,0.5,8,105.42096185709555,5,10,40.30723
6,spread,4,0.8,2,105.52852640300085,5,10,40.88992
57,sum,4,0.5,2,105.64382040838102,5,10,41.0769
74,sum,16,0.3,8,105.68784022775856,5,10,40.306329999999996
54,sum,4,0.3,2,105.70918395371227,5,10,41.0769
60,sum,4,0.8,2,106.14719403578184,5,10,41.09743999999999
52,min,16,0.8,4,106.21239593526211,5,10,40.28754
49,min,16,0.5,4,106.27341869669226,5,10,40.28754
46,min,16,0.3,4,106.31632120099235,5,10,40.28754
33,min,4,0.8,2,107.34674373594665,5,10,41.07473
38,min,8,0.3,8,107.35932990044786,5,10,41.01435
30,min,4,0.5,2,107.36032658199595,5,10,41.06019
27,min,4,0.3,2,107.39647245639343,5,10,41.03846
41,min,8,0.5,8,107.44728053336272,5,10,41.016679999999994
44,min,8,0.8,8,107.4678843350874,5,10,41.062580000000004
1,spread,4,0.3,4,107.6942871800155,5,10,40.83316
2,spread,4,0.3,8,107.85047066873875,5,10,40.83316
40,min,8,0.5,4,108.55832322804265,5,10,41.016679999999994
37,min,8,0.3,4,108.57136141927113,5,10,41.01435
43,min,8,0.8,4,108.7031743192838,5,10,41.062580000000004
62,sum,4,0.8,8,109.1260105456424,5,10,41.09743999999999
56,sum,4,0.3,8,109.15922878619115,5,10,41.0769
59,sum,4,0.5,8,109.19283538099337,5,10,41.0769
7,spread,4,0.8,4,109.52948396859824,5,10,40.88992
55,sum,4,0.3,4,109.58963638387421,5,10,41.0769
4,spread,4,0.5,4,109.64005613919412,5,10,40.951139999999995
5,spread,4,0.5,8,109.64638363534152,5,10,40.951139999999995
61,sum,4,0.8,4,109.68971583010995,5,10,41.09743999999999
58,sum,4,0.5,4,109.73084269948559,5,10,41.0769
8,spread,4,0.8,8,110.22309597425208,5,10,40.88992
73,sum,16,0.3,4,110.72106414738208,5,10,40.306329999999996
76,sum,16,0.5,4,110.84900104714374,5,10,40.30723
79,sum,16,0.8,4,110.8719638102274,5,10,40.30723
29,min,4,0.3,8,111.27615921524827,5,10,41.05047
35,min,4,0.8,8,111.28495991982109,5,10,41.07473
32,min,4,0.5,8,111.43562844447416,5,10,41.06019
31,min,4,0.5,4,112.69682532332085,5,10,41.06019
34,min,4,0.8,4,112.75467623999387,5,10,41.07473
28,min,4,0.3,4,112.78690489141866,5,10,41.05047
