instance,n,M,obj,proven,lb,gap_pct,time_s,nodes,oracle,heavy
ht2_1-50_0.6_0.6_3,50,2,892.014,0,11.1848,98.7461,3606.98,51,161,1
ht2_1-50_0.6_0.6_3,50,3,405.575,0,12.0818,97.0211,3604.94,100091,258,1
ht2_1-50_0.6_0.6_3,50,4,232.267,0,9.72976,95.811,3608.21,4984,1527,1
ht2_2-25_0.3_0.3_1,25,2,181.599,0,0,100,3600,205163,103023,1
ht2_2-25_0.3_0.3_1,25,3,79.4934,0,0,100,3600.01,721731,61598,1
ht2_2-25_0.3_0.3_1,25,4,30.489,0,0,100,3600.02,765218,46823,1
ht2_2-25_0.3_0.6_1,25,2,170.692,0,18.0409,89.4307,3600.08,243667,27674,1
ht2_2-25_0.3_0.6_1,25,3,75.4274,0,4.35184,94.2304,3600.04,574771,44035,1
ht2_2-25_0.3_0.6_1,25,4,20.9885,0,6.20368,70.4424,3600.04,680240,30130,1
ht2_2-25_0.6_0.3_3,25,2,361.366,0,26.4894,92.6696,3600.13,47583,24855,1
ht2_2-25_0.6_0.3_3,25,3,232.691,0,26.4894,88.6161,3600,1695381,30389,1
ht2_2-25_0.6_0.3_3,25,4,158.076,0,24.9524,84.215,3600,2803770,12736,1
ht2_2-25_0.6_0.6_3,25,2,331.647,0,42.5714,87.1636,3600.01,48867,25077,1
ht2_2-25_0.6_0.6_3,25,3,216.635,0,42.5286,80.3686,3600.01,763593,45241,1
ht2_2-25_0.6_0.6_3,25,4,148.707,0,40.2566,72.929,3600,1597316,23711,1
