instance,node_id,current_time,depth,remaining_size,lb_par,lb_pos,opt_remaining,tightness_par,tightness_pos
tf0.2_rdd0.3_seed1,7,124.12751200000001,14,6,69.86307200000007,95.3092160000001,152.88393599999998,0.45696803619708015,0.6234089629926857
tf0.2_rdd0.3_seed1,8,135.59538400000002,16,4,112.47652800000009,132.69865600000008,163.62419199999997,0.6874076909116233,0.8109965548370751
tf0.2_rdd0.3_seed1,9,144.84104800000003,17,3,110.3724720000001,118.08847200000008,136.474528,0.8087404559479415,0.8652784789261194
tf0.2_rdd0.3_seed1,18,127.66638719999999,15,5,39.126566399999945,35.89224799999994,83.040512,0.47117443591869884,0.4322257550627811
tf0.2_rdd0.3_seed1,19,136.91205119999998,16,4,32.79164159999996,30.898687999999908,61.128848000000005,0.5364348040715565,0.505468187458725
tf0.2_rdd0.3_seed1,20,167.66077599999997,19,1,30.890375999999975,30.890375999999975,30.890600000000006,0.9999927486031339,0.9999927486031339
tf0.2_rdd0.3_seed1,28,92.76336799999999,14,6,0.0,0.0,55.28036799999998,0.0,0.0
tf0.2_rdd0.3_seed1,29,125.86701599999998,17,3,51.16235199999997,47.010775999999936,67.59935999999999,0.7568466920396876,0.6954322644474732
tf0.2_rdd0.3_seed1,30,134.76205599999997,18,2,68.95243199999996,78.19809599999994,78.19832000000002,0.8817635979903397,0.9999971354883316
tf0.2_rdd0.3_seed1,31,155.94471199999998,19,1,50.190375999999986,50.190375999999986,50.190664,0.999994261881054,0.999994261881054
tf0.2_rdd0.3_seed1,40,133.694784,15,5,47.32074399999999,87.84224799999998,102.21818399999998,0.46293860982699514,0.859360287598144
tf0.2_rdd0.3_seed1,41,141.767616,16,4,66.69322400000001,100.498704,113.60175999999998,0.5870791438442505,0.8846579841720763
tf0.2_rdd0.3_seed1,42,153.997216,17,3,95.38480800000002,110.39712800000001,115.89716000000001,0.823012470711103,0.9525438587106017
tf0.2_rdd0.3_seed1,43,160.345976,18,2,56.73635200000001,64.551152,64.5514,0.8789329433598653,0.9999961581003666
tf0.2_rdd0.3_seed1,44,172.575576,19,1,45.390376,45.390376,45.390799999999984,0.9999906589000418,0.9999906589000418
tf0.2_rdd0.3_seed1,52,94.85474399999998,13,7,0.0,6.107951999999955,50.026696000000015,0.0,0.1220938516507257
tf0.2_rdd0.3_seed1,53,110.47938399999998,15,5,18.75255999999996,27.60213599999996,83.70651999999998,0.2240274712172954,0.32974893711983205
tf0.2_rdd0.3_seed1,54,118.29418399999999,16,4,37.84914399999995,44.235775999999916,91.52151999999998,0.41355458257249184,0.48333742708818567
tf0.2_rdd0.3_seed1,55,127.53984799999998,17,3,43.80062399999997,45.49592799999991,78.981856,0.5545656460643312,0.5760301201329063
tf0.2_rdd0.3_seed1,64,141.5904976,14,6,133.44286399999996,177.13777279999996,205.15126879999997,0.6504608271767119,0.86344956010333
tf0.2_rdd0.3_seed1,65,149.6633296,15,5,156.1436944,186.02135520000002,201.03543679999999,0.7766973668196592,0.9253162435489584
tf0.2_rdd0.3_seed1,66,160.2558896,17,3,146.50215519999998,154.17990559999998,159.40631679999998,0.9190486182790969,0.9672132741981778
tf0.2_rdd0.3_seed1,67,168.40771999999998,19,1,73.59037599999999,73.59037599999999,73.590656,0.9999961951691257,0.9999961951691257
tf0.2_rdd0.3_seed1,76,123.96704159999999,14,6,50.805988799999966,89.80189119999991,137.5530848,0.3693555028145757,0.6528526156325061
tf0.2_rdd0.3_seed1,77,140.2312016,16,4,81.38398079999996,110.54561919999995,127.93717439999998,0.6361245758449389,0.8640617531099699
tf0.2_rdd0.3_seed1,78,148.04600159999998,17,3,91.78237919999995,103.69961759999995,115.48037439999999,0.7947876829883223,0.8979847713413714
tf0.2_rdd0.3_seed1,79,179.64471199999997,19,1,73.89037599999997,73.89037599999997,73.89066400000002,0.9999961023492759,0.9999961023492759
tf0.2_rdd0.3_seed1,88,116.85901759999999,13,7,36.960340799999955,61.694155199999926,107.43735840000002,0.3440175870891474,0.5742337313460968
