# experiment: ht1_3-20_0.3_0.3_1  M=4  mode=mix  (MILP / Gurobi)
# config: sym_break=1 threads=0 ; TL=3600s traceint=10s
# date: 2026-06-30T11:44:58  wall=1062.1s
# model: 1960 vars, 3639 constrs
# columns of TRACE lines: t(s) ub lb gap(%) nodes
#======================================================================

TRACE t=912.7 ub=10.1666 lb=5.99376 gap=41.04 nodes=279222
TRACE t=926.0 ub=10.1666 lb=5.99376 gap=41.04 nodes=288139
TRACE t=937.6 ub=10.1666 lb=6.01896 gap=40.80 nodes=292813
TRACE t=949.8 ub=10.1666 lb=6.90736 gap=32.06 nodes=297792
TRACE t=963.4 ub=10.1666 lb=6.90736 gap=32.06 nodes=302980
TRACE t=978.0 ub=10.1666 lb=6.90736 gap=32.06 nodes=308565
TRACE t=992.7 ub=10.1666 lb=7.06781 gap=30.48 nodes=314610
TRACE t=1002.8 ub=10.1666 lb=7.06781 gap=30.48 nodes=318484
TRACE t=1013.1 ub=10.1666 lb=7.13696 gap=29.80 nodes=322715
TRACE t=1026.3 ub=10.1666 lb=7.95659 gap=21.74 nodes=330424
TRACE t=1039.8 ub=10.1666 lb=7.99376 gap=21.37 nodes=336856
TRACE t=1052.8 ub=10.1666 lb=7.99469 gap=21.36 nodes=343232

RESULT instance=ht1_3-20_0.3_0.3_1 n=20 M=4 mode=mix TT=10.1666 optimal=1 lb=10.1666 gap=0.0000 time=1061.8936 nodes=350311 status=OPTIMAL
