# experiment: ht1_3-20_0.3_0.6_1  M=4  mode=mix  (MILP / Gurobi)
# config: sym_break=1 threads=0 ; TL=3600s traceint=10s
# date: 2026-06-30T14:17:50  wall=1963.6s
# model: 1960 vars, 3639 constrs
# columns of TRACE lines: t(s) ub lb gap(%) nodes
#======================================================================

TRACE t=938.6 ub=26.1666 lb=19.9938 gap=23.59 nodes=300690
TRACE t=950.2 ub=26.1666 lb=19.9938 gap=23.59 nodes=302327
TRACE t=962.6 ub=26.1666 lb=19.9938 gap=23.59 nodes=306603
TRACE t=979.3 ub=26.1666 lb=19.9938 gap=23.59 nodes=312978
TRACE t=990.3 ub=26.1666 lb=19.9938 gap=23.59 nodes=317585
TRACE t=1002.0 ub=26.1666 lb=19.9938 gap=23.59 nodes=324363
TRACE t=1013.8 ub=26.1666 lb=19.9938 gap=23.59 nodes=324789
TRACE t=1027.6 ub=26.1666 lb=19.9938 gap=23.59 nodes=327027
TRACE t=1037.9 ub=26.1666 lb=19.9938 gap=23.59 nodes=327475
TRACE t=1048.5 ub=26.1666 lb=19.9938 gap=23.59 nodes=330276
TRACE t=1059.6 ub=26.1666 lb=19.9938 gap=23.59 nodes=334333
TRACE t=1073.4 ub=26.1666 lb=19.9938 gap=23.59 nodes=336715
TRACE t=1087.5 ub=26.1666 lb=19.9938 gap=23.59 nodes=343641
TRACE t=1102.2 ub=26.1666 lb=19.9938 gap=23.59 nodes=349679
TRACE t=1114.7 ub=26.1666 lb=19.9938 gap=23.59 nodes=355604
TRACE t=1129.4 ub=26.1666 lb=19.9938 gap=23.59 nodes=358670
TRACE t=1143.2 ub=26.1666 lb=19.9938 gap=23.59 nodes=362467
TRACE t=1155.4 ub=26.1666 lb=19.9938 gap=23.59 nodes=369660
TRACE t=1168.5 ub=26.1666 lb=19.9938 gap=23.59 nodes=377255
TRACE t=1181.1 ub=26.1666 lb=19.9939 gap=23.59 nodes=381598
TRACE t=1194.8 ub=26.1666 lb=19.9944 gap=23.59 nodes=387743
TRACE t=1210.4 ub=26.1666 lb=19.9948 gap=23.59 nodes=391434
TRACE t=1226.7 ub=26.1666 lb=19.9961 gap=23.58 nodes=391964
TRACE t=1245.3 ub=26.1666 lb=20.0009 gap=23.56 nodes=394604
TRACE t=1262.5 ub=26.1666 lb=20.0359 gap=23.43 nodes=400746
TRACE t=1276.2 ub=26.1666 lb=21.1796 gap=19.06 nodes=407145
TRACE t=1289.5 ub=26.1666 lb=21.2234 gap=18.89 nodes=407818
TRACE t=1305.1 ub=26.1666 lb=21.2234 gap=18.89 nodes=412208
TRACE t=1333.6 ub=26.1666 lb=21.2234 gap=18.89 nodes=412603
TRACE t=1346.9 ub=26.1666 lb=21.6357 gap=17.32 nodes=426442
TRACE t=1356.9 ub=26.1666 lb=21.6357 gap=17.32 nodes=431077
TRACE t=1371.7 ub=26.1666 lb=21.9938 gap=15.95 nodes=437459
TRACE t=1384.1 ub=26.1666 lb=21.9938 gap=15.95 nodes=441995
TRACE t=1394.3 ub=26.1666 lb=21.9938 gap=15.95 nodes=446176
TRACE t=1405.0 ub=26.1666 lb=21.9938 gap=15.95 nodes=450655
TRACE t=1415.3 ub=26.1666 lb=21.9938 gap=15.95 nodes=455306
TRACE t=1426.2 ub=26.1666 lb=21.9938 gap=15.95 nodes=460025
TRACE t=1439.7 ub=26.1666 lb=21.9938 gap=15.95 nodes=467453
TRACE t=1449.8 ub=26.1666 lb=21.9938 gap=15.95 nodes=474576
TRACE t=1460.9 ub=26.1666 lb=21.9938 gap=15.95 nodes=480523
TRACE t=1471.5 ub=26.1666 lb=21.9938 gap=15.95 nodes=486918
