instance,mean_tightness_par,mean_tightness_pos,n_exact_nodes,better_rate
tf0.2_rdd0.3_seed1,0.6656089710666674,0.7317834307227176,669,0.8550074738415545
tf0.2_rdd0.6_seed4,0.7813712209229842,0.7815554290751657,676,0.6671597633136095
tf0.4_rdd0.3_seed2,0.8377781143467389,0.9215908583916003,664,1.0
tf0.4_rdd0.6_seed5,0.8369138311736583,0.9020239420195392,680,0.975
tf0.6_rdd0.3_seed3,0.8982495630407995,0.9532280550032456,684,1.0
tf0.6_rdd0.6_seed6,0.8947522821796773,0.9485060184297665,653,1.0
