instance,n,M,mode,status,obj,bound,gap_pct,time_s,nodes,nvars,nconstr,fam,TF,RDD,solved,timeout,t,nontrivial
ht1_2-15_0.3_0.6_1,15,3,mix,OPTIMAL,22.3673,22.3673,0.0,92.22,114980,885,1604,ht1,0.3,0.6,True,False,92.22,True
ht1_2-15_0.3_0.6_1,15,4,pbatch,OPTIMAL,14.4691,14.4691,0.0,0.38,1,1230,2129,ht1,0.3,0.6,True,False,0.38,True
ht1_2-15_0.3_0.6_1,15,4,mix,OPTIMAL,14.4691,14.4691,0.0,1.95,3544,1170,2129,ht1,0.3,0.6,True,False,1.95,True
ht1_2-15_0.6_0.3_3,15,2,pbatch,OPTIMAL,36.8477,36.8477,0.0,0.8,1,630,1079,ht1,0.6,0.3,True,False,0.8,True
ht1_2-15_0.6_0.3_3,15,2,mix,TIME_LIMIT,101.6284,82.4224,18.9,3600.04,8955924,600,1079,ht1,0.6,0.3,False,True,3600.0,True
ht1_2-15_0.6_0.3_3,15,3,pbatch,OPTIMAL,31.8096,31.8096,0.0,1.0,1,930,1604,ht1,0.6,0.3,True,False,1.0,True
ht1_2-15_0.6_0.3_3,15,3,mix,TIME_LIMIT,70.5465,53.8558,23.66,3600.07,6939215,885,1604,ht1,0.6,0.3,False,True,3600.0,True
ht1_2-15_0.6_0.3_3,15,4,pbatch,OPTIMAL,29.8343,29.8343,0.0,1.32,1,1230,2129,ht1,0.6,0.3,True,False,1.32,True
ht1_2-15_0.6_0.3_3,15,4,mix,TIME_LIMIT,54.7841,41.8646,23.58,3600.1,3587741,1170,2129,ht1,0.6,0.3,False,True,3600.0,True
ht1_2-15_0.6_0.6_3,15,2,pbatch,OPTIMAL,41.8029,41.8029,0.0,0.79,603,630,1079,ht1,0.6,0.6,True,False,0.79,True
ht1_2-15_0.6_0.6_3,15,2,mix,TIME_LIMIT,103.1438,77.5697,24.79,3600.1,6992791,600,1079,ht1,0.6,0.6,False,True,3600.0,True
ht1_2-15_0.6_0.6_3,15,3,pbatch,OPTIMAL,36.7648,36.7648,0.0,1.61,218,930,1604,ht1,0.6,0.6,True,False,1.61,True
ht1_2-15_0.6_0.6_3,15,3,mix,TIME_LIMIT,71.4838,48.1835,32.6,3600.07,4261546,885,1604,ht1,0.6,0.6,False,True,3600.0,True
ht1_2-15_0.6_0.6_3,15,4,pbatch,OPTIMAL,34.3356,34.3356,0.0,1.8,189,1230,2129,ht1,0.6,0.6,True,False,1.8,True
ht1_2-15_0.6_0.6_3,15,4,mix,TIME_LIMIT,57.0565,42.8253,24.94,3600.11,4056785,1170,2129,ht1,0.6,0.6,False,True,3600.0,True
ht1_3-20_0.3_0.3_1,20,2,pbatch,OPTIMAL,25.1728,25.1728,0.0,3.53,1128,1040,1839,ht1,0.3,0.3,True,False,3.53,True
ht1_3-20_0.3_0.3_1,20,2,mix,TIME_LIMIT,106.0523,67.2714,36.57,3600.89,4102356,1000,1839,ht1,0.3,0.3,False,True,3600.0,True
ht1_3-20_0.3_0.3_1,20,3,pbatch,OPTIMAL,15.9074,15.9074,0.0,1.0,1,1540,2739,ht1,0.3,0.3,True,False,1.0,True
ht1_3-20_0.3_0.3_1,20,3,mix,TIME_LIMIT,46.4813,29.8085,35.87,3600.19,3380936,1480,2739,ht1,0.3,0.3,False,True,3600.0,True
ht1_3-20_0.3_0.3_1,20,4,pbatch,OPTIMAL,15.9074,15.9074,0.0,0.81,27,2040,3639,ht1,0.3,0.3,True,False,0.81,True
ht1_3-20_0.3_0.3_1,20,4,mix,OPTIMAL,21.1666,21.1666,0.0,432.64,405670,1960,3639,ht1,0.3,0.3,True,False,432.64,True
ht1_3-20_0.3_0.6_1,20,2,pbatch,OPTIMAL,6.0864,6.0864,0.0,1.09,431,1040,1839,ht1,0.3,0.6,True,False,1.09,True
ht1_3-20_0.3_0.6_1,20,2,mix,TIME_LIMIT,79.6832,28.7219,63.95,3600.09,2720799,1000,1839,ht1,0.3,0.6,False,True,3600.0,True
ht1_3-20_0.3_0.6_1,20,3,pbatch,OPTIMAL,0.0,0.0,0.0,0.27,1,1540,2739,ht1,0.3,0.6,True,False,0.27,False
ht1_3-20_0.3_0.6_1,20,3,mix,TIME_LIMIT,21.4813,3.0864,85.63,3600.13,1752817,1480,2739,ht1,0.3,0.6,False,True,3600.0,True
ht1_3-20_0.3_0.6_1,20,4,pbatch,OPTIMAL,0.0,0.0,0.0,0.12,1,2040,3639,ht1,0.3,0.6,True,False,0.12,False
ht1_3-20_0.3_0.6_1,20,4,mix,OPTIMAL,0.1728,0.1728,0.0,17.51,4639,1960,3639,ht1,0.3,0.6,True,False,17.51,True
ht1_3-20_0.6_0.3_3,20,2,pbatch,OPTIMAL,92.7335,92.7335,0.0,26.14,28897,1040,1839,ht1,0.6,0.3,True,False,26.14,True
ht1_3-20_0.6_0.3_3,20,2,mix,TIME_LIMIT,214.4187,98.5972,54.02,3600.13,3087492,1000,1839,ht1,0.6,0.3,False,True,3600.0,True
ht1_3-20_0.6_0.3_3,20,3,pbatch,OPTIMAL,73.8394,73.8394,0.0,40.12,32301,1540,2739,ht1,0.6,0.3,True,False,40.12,True
ht1_3-20_0.6_0.3_3,20,3,mix,TIME_LIMIT,141.2375,72.9064,48.38,3600.18,2368564,1480,2739,ht1,0.6,0.3,False,True,3600.0,True
ht1_3-20_0.6_0.3_3,20,4,pbatch,OPTIMAL,64.5739,64.5739,0.0,45.98,47842,2040,3639,ht1,0.6,0.3,True,False,45.98,True
ht1_3-20_0.6_0.3_3,20,4,mix,TIME_LIMIT,102.4134,58.9938,42.4,3600.54,1153718,1960,3639,ht1,0.6,0.3,False,True,3600.0,True
