cfg_id,SCORE,CAND,MOVE,HMARGIN,instance,n,M,obj,proven,gap_pct,time_s,nodes,status
47,min,16,0.3,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0163966,283,OPT
48,min,16,0.5,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0165226,283,OPT
49,min,16,0.5,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0163273,283,OPT
50,min,16,0.5,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0158198,283,OPT
51,min,16,0.8,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0167807,283,OPT
52,min,16,0.8,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.016401,283,OPT
53,min,16,0.8,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.015923,283,OPT
54,sum,4,0.3,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0163036,253,OPT
55,sum,4,0.3,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161497,253,OPT
56,sum,4,0.3,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0160678,253,OPT
57,sum,4,0.5,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0166247,253,OPT
58,sum,4,0.5,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.016111,253,OPT
59,sum,4,0.5,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.015946,253,OPT
60,sum,4,0.8,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0167922,253,OPT
61,sum,4,0.8,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0159692,253,OPT
62,sum,4,0.8,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0159074,253,OPT
63,sum,8,0.3,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0164385,250,OPT
64,sum,8,0.3,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0166203,250,OPT
65,sum,8,0.3,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0157693,250,OPT
66,sum,8,0.5,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0164658,250,OPT
67,sum,8,0.5,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0159235,250,OPT
68,sum,8,0.5,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0163328,250,OPT
69,sum,8,0.8,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0164653,250,OPT
70,sum,8,0.8,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.015957,250,OPT
71,sum,8,0.8,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0159161,250,OPT
72,sum,16,0.3,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0164983,250,OPT
73,sum,16,0.3,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161461,250,OPT
74,sum,16,0.3,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0158443,250,OPT
75,sum,16,0.5,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0166063,250,OPT
76,sum,16,0.5,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0156002,250,OPT
77,sum,16,0.5,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.016132,250,OPT
78,sum,16,0.8,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0165712,250,OPT
79,sum,16,0.8,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0158198,250,OPT
80,sum,16,0.8,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161972,250,OPT
0,spread,4,0.3,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0284255,2532,OPT
1,spread,4,0.3,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0284666,2571,OPT
2,spread,4,0.3,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0290195,2571,OPT
3,spread,4,0.5,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0285015,2532,OPT
4,spread,4,0.5,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0281277,2571,OPT
5,spread,4,0.5,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0284168,2571,OPT
6,spread,4,0.8,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0280476,2532,OPT
7,spread,4,0.8,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0283179,2571,OPT
8,spread,4,0.8,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0286876,2571,OPT
9,spread,8,0.3,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0295249,2520,OPT
10,spread,8,0.3,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0285226,2544,OPT
11,spread,8,0.3,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0281397,2544,OPT
12,spread,8,0.5,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0303084,2520,OPT
13,spread,8,0.5,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0284872,2544,OPT
14,spread,8,0.5,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.028541,2544,OPT
15,spread,8,0.8,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.029518,2520,OPT
16,spread,8,0.8,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0283278,2544,OPT
17,spread,8,0.8,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0281644,2544,OPT
18,spread,16,0.3,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0297155,2520,OPT
19,spread,16,0.3,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0282389,2544,OPT
20,spread,16,0.3,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0282387,2544,OPT
21,spread,16,0.5,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.029876,2520,OPT
22,spread,16,0.5,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.028146,2544,OPT
23,spread,16,0.5,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0281731,2544,OPT
24,spread,16,0.8,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0298673,2520,OPT
25,spread,16,0.8,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0288072,2544,OPT
26,spread,16,0.8,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0284845,2544,OPT
27,min,4,0.3,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0287753,2698,OPT
28,min,4,0.3,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0293232,2748,OPT
29,min,4,0.3,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0297667,2748,OPT
30,min,4,0.5,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0293571,2698,OPT
31,min,4,0.5,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0299432,2748,OPT
32,min,4,0.5,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0320683,2748,OPT
33,min,4,0.8,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0294604,2698,OPT
34,min,4,0.8,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0295613,2748,OPT
35,min,4,0.8,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0299158,2748,OPT
36,min,8,0.3,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0305213,2698,OPT
37,min,8,0.3,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0298152,2748,OPT
38,min,8,0.3,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0297785,2748,OPT
39,min,8,0.5,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0305006,2698,OPT
40,min,8,0.5,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0296758,2748,OPT
41,min,8,0.5,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0297698,2748,OPT
