cfg_id,SCORE,CAND,MOVE,HMARGIN,instance,n,M,obj,proven,gap_pct,time_s,nodes,status
47,min,16,0.3,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0168668,283,OPT
48,min,16,0.5,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0170013,283,OPT
49,min,16,0.5,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0164308,283,OPT
50,min,16,0.5,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161578,283,OPT
51,min,16,0.8,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0171178,283,OPT
52,min,16,0.8,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0158264,283,OPT
53,min,16,0.8,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0160326,283,OPT
54,sum,4,0.3,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0163533,253,OPT
55,sum,4,0.3,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0159064,253,OPT
56,sum,4,0.3,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161395,253,OPT
57,sum,4,0.5,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0168416,253,OPT
58,sum,4,0.5,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161483,253,OPT
59,sum,4,0.5,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0159532,253,OPT
60,sum,4,0.8,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0169742,253,OPT
61,sum,4,0.8,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161956,253,OPT
62,sum,4,0.8,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0162237,253,OPT
63,sum,8,0.3,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0167596,250,OPT
64,sum,8,0.3,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0159957,250,OPT
65,sum,8,0.3,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0160876,250,OPT
66,sum,8,0.5,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.016308,250,OPT
67,sum,8,0.5,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0164116,250,OPT
68,sum,8,0.5,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161281,250,OPT
69,sum,8,0.8,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0167955,250,OPT
70,sum,8,0.8,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0160468,250,OPT
71,sum,8,0.8,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0158411,250,OPT
72,sum,16,0.3,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0167214,250,OPT
73,sum,16,0.3,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0161107,250,OPT
74,sum,16,0.3,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0160762,250,OPT
75,sum,16,0.5,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0165086,250,OPT
76,sum,16,0.5,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0158868,250,OPT
77,sum,16,0.5,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0163953,250,OPT
78,sum,16,0.8,2,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0167825,250,OPT
79,sum,16,0.8,4,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0162045,250,OPT
80,sum,16,0.8,8,cal_n10_rdd0.3_M2_s1103,10,2,80.7496,1,0,0.0162328,250,OPT
0,spread,4,0.3,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0282961,2532,OPT
1,spread,4,0.3,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0289356,2571,OPT
2,spread,4,0.3,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.028447,2571,OPT
3,spread,4,0.5,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0281834,2532,OPT
4,spread,4,0.5,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0287043,2571,OPT
5,spread,4,0.5,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0291225,2571,OPT
6,spread,4,0.8,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0287476,2532,OPT
7,spread,4,0.8,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0285542,2571,OPT
8,spread,4,0.8,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0284288,2571,OPT
9,spread,8,0.3,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.029777,2520,OPT
10,spread,8,0.3,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0279096,2544,OPT
11,spread,8,0.3,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0284248,2544,OPT
12,spread,8,0.5,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.029377,2520,OPT
13,spread,8,0.5,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0285237,2544,OPT
14,spread,8,0.5,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0282043,2544,OPT
15,spread,8,0.8,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0298121,2520,OPT
16,spread,8,0.8,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0286547,2544,OPT
17,spread,8,0.8,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0281739,2544,OPT
18,spread,16,0.3,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0299024,2520,OPT
19,spread,16,0.3,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0283944,2544,OPT
20,spread,16,0.3,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0283005,2544,OPT
21,spread,16,0.5,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0296146,2520,OPT
22,spread,16,0.5,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0284266,2544,OPT
23,spread,16,0.5,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0285125,2544,OPT
24,spread,16,0.8,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0300546,2520,OPT
25,spread,16,0.8,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0282789,2544,OPT
26,spread,16,0.8,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.028118,2544,OPT
27,min,4,0.3,2,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0290805,2698,OPT
28,min,4,0.3,4,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0303102,2748,OPT
29,min,4,0.3,8,cal_n10_rdd0.6_M3_s1106,10,3,79.715,1,0,0.0296035,2748,OPT
