cfg_id,SCORE,CAND,MOVE,HMARGIN,score_sgm,proved,runs,mean_gap
14,spread,8,0.5,8,12.905057520802629,5,10,40.100919999999995
11,spread,8,0.3,8,12.936753489807753,5,10,40.35514
23,spread,16,0.5,8,12.937851094050895,5,10,40.20044
12,spread,8,0.5,2,12.955127856905914,5,10,40.16722
26,spread,16,0.8,8,12.985791619125393,5,10,40.834270000000004
20,spread,16,0.3,8,12.98718476433871,5,10,40.67996000000001
9,spread,8,0.3,2,12.993129926912118,5,10,40.37991
17,spread,8,0.8,8,13.009796200713332,5,10,41.143640000000005
21,spread,16,0.5,2,13.010761364941256,5,10,40.37418
18,spread,16,0.3,2,13.016723620712277,5,10,40.43159000000001
10,spread,8,0.3,4,13.025355909047509,5,10,40.35514
13,spread,8,0.5,4,13.030516048520909,5,10,40.100919999999995
15,spread,8,0.8,2,13.048729061887421,5,10,41.143640000000005
24,spread,16,0.8,2,13.049116919803655,5,10,40.834270000000004
22,spread,16,0.5,4,13.053126406769476,5,10,40.199239999999996
19,spread,16,0.3,4,13.059559367955742,5,10,40.41760000000001
25,spread,16,0.8,4,13.10588139094618,5,10,40.834270000000004
16,spread,8,0.8,4,13.110289021057241,5,10,41.143640000000005
65,sum,8,0.3,8,13.139303836883027,5,10,39.576319999999996
68,sum,8,0.5,8,13.145082698687368,5,10,39.46831
66,sum,8,0.5,2,13.21539132686371,5,10,39.46831
67,sum,8,0.5,4,13.22223535332327,5,10,39.46831
3,spread,4,0.5,2,13.248765713801927,5,10,40.121719999999996
63,sum,8,0.3,2,13.260356511153695,5,10,39.6017
64,sum,8,0.3,4,13.26375169425867,5,10,39.576319999999996
71,sum,8,0.8,8,13.290108810745952,5,10,41.143640000000005
0,spread,4,0.3,2,13.306422638443916,5,10,40.312870000000004
6,spread,4,0.8,2,13.352787506821464,5,10,41.143640000000005
80,sum,16,0.8,8,13.36229105207433,5,10,40.37458
69,sum,8,0.8,2,13.364055949992455,5,10,41.143640000000005
70,sum,8,0.8,4,13.415498362754807,5,10,41.143640000000005
30,min,4,0.5,2,13.477328839275543,5,10,39.98903
27,min,4,0.3,2,13.484825872425308,5,10,39.97198
77,sum,16,0.5,8,13.548277448366662,5,10,39.1025
74,sum,16,0.3,8,13.554367614562963,5,10,39.02848
57,sum,4,0.5,2,13.621952632385007,5,10,39.94662
54,sum,4,0.3,2,13.622597340655702,5,10,39.95269
60,sum,4,0.8,2,13.724748099469277,5,10,41.143640000000005
5,spread,4,0.5,8,13.781849867530045,5,10,40.121719999999996
41,min,8,0.5,8,13.783493051183292,5,10,39.41286
4,spread,4,0.5,4,13.78454972358924,5,10,40.121719999999996
1,spread,4,0.3,4,13.787082727740401,5,10,40.282
2,spread,4,0.3,8,13.791066846864247,5,10,40.282
38,min,8,0.3,8,13.828210298210735,5,10,39.94961
7,spread,4,0.8,4,13.861869942404084,5,10,41.143640000000005
33,min,4,0.8,2,13.876793453419957,5,10,41.143640000000005
8,spread,4,0.8,8,13.881426217111319,5,10,41.143640000000005
44,min,8,0.8,8,13.95717785659669,5,10,41.10878
40,min,8,0.5,4,13.967665588581134,5,10,39.41286
32,min,4,0.5,8,13.987067158472666,5,10,39.98903
29,min,4,0.3,8,13.987526184342766,5,10,39.97198
37,min,8,0.3,4,14.006009674011931,5,10,39.94961
59,sum,4,0.5,8,14.018013153080283,5,10,39.94662
56,sum,4,0.3,8,14.031898637263406,5,10,39.95269
79,sum,16,0.8,4,14.0629817763644,5,10,40.4208
58,sum,4,0.5,4,14.089689953928758,5,10,39.94662
55,sum,4,0.3,4,14.11441188557599,5,10,39.95269
43,min,8,0.8,4,14.137187970085844,5,10,41.10878
62,sum,4,0.8,8,14.14399394419593,5,10,41.143640000000005
28,min,4,0.3,4,14.204371263373837,5,10,39.97198
31,min,4,0.5,4,14.21782545683671,5,10,39.98903
61,sum,4,0.8,4,14.226197283193503,5,10,41.143640000000005
73,sum,16,0.3,4,14.29379112275863,5,10,39.02124
76,sum,16,0.5,4,14.309183653284105,5,10,39.1025
50,min,16,0.5,8,14.679790662589223,4,10,42.585879999999996
47,min,16,0.3,8,14.709682572489957,4,10,42.79962999999999
34,min,4,0.8,4,14.718931725472892,5,10,41.143640000000005
72,sum,16,0.3,2,14.900796791744021,4,10,43.92414
75,sum,16,0.5,2,14.904686571719235,4,10,44.005399999999995
45,min,16,0.3,2,14.971532547242859,4,10,45.05031
48,min,16,0.5,2,14.982157790141674,4,10,45.16682
53,min,16,0.8,8,15.027992210103594,4,10,45.49341
78,sum,16,0.8,2,15.044788778691167,4,10,45.323699999999995
51,min,16,0.8,2,15.09434880355293,4,10,46.22832
39,min,8,0.5,2,15.109911730017426,4,10,45.142129999999995
36,min,8,0.3,2,15.141977137583805,4,10,45.38659
42,min,8,0.8,2,15.260281306939586,4,10,46.545759999999994
46,min,16,0.3,4,15.341619366106652,4,10,44.352639999999994
49,min,16,0.5,4,15.359980830781879,4,10,44.43191
52,min,16,0.8,4,15.474122198955278,4,10,45.53963
35,min,4,0.8,8,16.073932362641877,4,10,44.916160000000005
